window_idx,window_num,true_phase,D_total,D_shap,adv_score,drift_belief,risk_score,est_auprc,baseline_auprc,intervention_level,intervention_action,top_sadi_features,ks_detected,psi_detected,ks_flagged_features,psi_flagged_features,dpd,eod,n_samples
0,0,phase1,0.7623542744446399,1.1506249585822612,0.4627079619726679,0.4574125646667839,0.03595209748188655,0.7903313413015522,0.8262834387834388,1,ALERT,"[""SBP_mean"", ""SaO2_max"", ""Calcium_mean"", ""DBP_max"", ""MAP_mean""]",True,True,"[""Phosphate_mean"", ""Platelets_max""]","[""HR_std"", ""HR_min"", ""HR_max"", ""O2Sat_mean"", ""O2Sat_std""]",0.0,0.0,100
1,1,phase1,1.2898388514838772,2.2667556309865775,0.44275103980986336,0.6,0.02193509770310198,0.8043483410803368,0.8262834387834388,1,ALERT,"[""Creatinine_mean"", ""SaO2_max"", ""Resp_mean"", ""Magnesium_max"", ""Phosphate_std""]",True,True,"[""BUN_mean"", ""BUN_min""]","[""HR_std"", ""HR_max"", ""O2Sat_mean"", ""O2Sat_min"", ""O2Sat_max""]",0.0,0.0,100
2,2,phase1,1.148004017979592,1.9167113778435794,0.44665404040404044,0.6,0.032506699761283175,0.7937767390221556,0.8262834387834388,1,ALERT,"[""Creatinine_mean"", ""FiO2_mean"", ""HR_min"", ""Temp_std"", ""Chloride_mean""]",True,True,"[""SBP_std"", ""BUN_mean"", ""BUN_min"", ""Glucose_min"", ""Hct_min""]","[""HR_max"", ""O2Sat_mean"", ""O2Sat_min"", ""O2Sat_max"", ""Temp_mean""]",0.0,0.0,100
3,3,phase1,1.1023729830817313,1.8376095170096118,0.37515968508615566,0.6,0.034412558375499835,0.791870880407939,0.8262834387834388,1,ALERT,"[""MAP_min"", ""Creatinine_mean"", ""Calcium_max"", ""Hct_mean"", ""Potassium_max""]",True,True,"[""SBP_std"", ""PTT_min""]","[""HR_std"", ""HR_max"", ""O2Sat_mean"", ""O2Sat_std"", ""O2Sat_min""]",0.0,0.0,100
4,4,phase1,1.4271243149694492,2.4200869725287486,0.44904188948306595,0.6,0.03010541128127764,0.7961780275021612,0.8262834387834388,1,ALERT,"[""MAP_min"", ""FiO2_mean"", ""Calcium_max"", ""FiO2_std"", ""HR_std""]",False,True,[],"[""HR_std"", ""HR_max"", ""O2Sat_std"", ""O2Sat_min"", ""Temp_mean""]",0.0,0.0,100
5,5,phase1,2.0838676418334705,3.7271368818658708,0.489795008912656,0.6,0.030413484392821655,0.7958699543906171,0.8262834387834388,1,ALERT,"[""Creatinine_std"", ""Creatinine_mean"", ""SaO2_max"", ""MAP_max"", ""Calcium_std""]",False,True,[],"[""HR_mean"", ""HR_std"", ""HR_min"", ""HR_max"", ""O2Sat_mean""]",0.0,0.0,100
6,6,phase1,1.3655043969827718,2.341400912174594,0.415292632204397,0.6,0.02521034428280422,0.8010730945006346,0.8262834387834388,1,ALERT,"[""HR_min"", ""SaO2_max"", ""pH_mean"", ""Glucose_mean"", ""MAP_min""]",True,True,"[""pH_max""]","[""HR_mean"", ""HR_std"", ""HR_min"", ""HR_max"", ""O2Sat_mean""]",0.0,0.0,100
7,7,phase1,1.6571060993050484,2.953055756780949,0.4997511883541296,0.6,0.024632899482724402,0.8016505393007144,0.8262834387834388,1,ALERT,"[""FiO2_mean"", ""HR_min"", ""SaO2_max"", ""MAP_min"", ""PaCO2_max""]",True,True,"[""SBP_min"", ""pH_std"", ""pH_max"", ""Hct_std"", ""Hgb_std""]","[""HR_mean"", ""HR_min"", ""HR_max"", ""O2Sat_mean"", ""O2Sat_std""]",0.0,0.0,100
8,8,phase1,2.179066725866829,3.9705402815097512,0.3787581699346405,0.6,0.040041744002958346,0.7862416947804804,0.8262834387834388,1,ALERT,"[""Creatinine_mean"", ""ICULOS"", ""HR_min"", ""Hct_max"", ""DBP_min""]",True,True,"[""MAP_std"", ""Glucose_min""]","[""HR_mean"", ""HR_std"", ""HR_min"", ""HR_max"", ""O2Sat_mean""]",0.0,0.0,100
9,9,phase1,1.5228520741892113,2.66738493903179,0.4251151218062983,0.6,0.034837764113237024,0.7914456746702018,0.8262834387834388,1,ALERT,"[""HR_min"", ""FiO2_mean"", ""Glucose_mean"", ""PaCO2_min"", ""DBP_min""]",True,True,"[""SBP_mean"", ""SBP_min"", ""Glucose_mean"", ""Glucose_min""]","[""HR_std"", ""HR_max"", ""O2Sat_std"", ""O2Sat_min"", ""O2Sat_max""]",0.0,0.0,100
